duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
72;-13053;341;23;82;50;83;52;36;3;0;0;0;1;31;0.27
46;50303615;278;31;72;67;72;67;30;67;0;13973.2;582;0;24;0.43
434;1323852;71;1;30;26;31;87;4;59;0;367.7;15;1;3;0.54
31;19643797;450;1;28;26;151;124;34;68;0;5456.6;227;1;20;0.38
91;23964494;69;1;33;30;35;126;3;69;0;6656.8;277;1;1;0.51
99;2539309;162;7;82;76;83;133;33;66;0;705.4;29;1;15;0.58
147;4856274;39;3;22;14;25;136;32;49;0;1349;56;0;25;0.46
80;-1;1761;0;7;3;190;207;20;1;0;0;0;1;8;0.78
56;9105;1621;1;169;28;362;231;187;5;11;2.5;0;4;132;0.71
65;4707409;426;1;95;32;151;220;181;10;12;1307.6;54;0;151;0.2
32;2486814;1015;1;105;55;202;220;150;10;12;690.8;29;2;124;0.6
104;1661355;166;1;49;23;87;229;198;10;12;461.5;19;6;87;0.48
109;-1;666;1;89;44;163;220;186;10;12;0;0;1;163;0.7
275;724287;1204;1;81;29;187;220;169;10;12;201.2;8;5;114;0.58
89;586611;2247;2;101;42;155;245;199;10;12;162.9;7;3;155;0.78
31;3838487;532;1;80;26;150;220;167;10;12;1066.2;44;2;150;0.28
31;10763029;1615;1;89;28;188;210;200;10;12;2989.7;125;1;188;0.4
31;3863225;48;2;21;20;21;220;186;10;12;1073.1;45;4;21;0.57
46;-1;1126;1;95;31;157;220;169;10;12;0;0;2;151;0.89
132;10362938;915;1;90;25;146;220;167;10;12;2878.6;120;1;146;0.53
166;10347429;804;1;90;29;160;220;187;10;12;2874.3;120;3;160;0.4
112;10363010;764;2;122;49;183;220;151;10;12;2878.6;120;0;70;0.42
114;16911937;60;1;56;37;56;221;192;11;12;4697.8;196;1;56;0.55
31;1623049;1023;27;173;74;230;386;162;170;11;450.8;19;5;50;0.42
172;-1;556;10;81;38;141;449;163;229;11;0;0;2;141;0.7
122;7242612;387;10;104;56;159;449;183;229;11;2011.8;84;1;159;0.34
120;43073645;395;26;115;60;156;489;167;215;11;11964.9;499;4;156;0.64
124;2140516;1028;18;79;49;126;517;181;206;11;594.6;25;1;126;0.79
140;15393283;490;20;92;51;128;548;193;180;11;4275.9;178;3;128;0.5
66;32555114;328;13;55;32;94;564;166;178;12;9043.1;377;5;94;0.34
60;32484229;758;20;82;44;146;564;147;178;12;9023.4;376;3;146;0.59
