Fecha;Hora share;Dia share;vistas
2013-06-27 00:31:09;0;3;4
2013-06-27 01:06:10;1;3;21
2013-06-27 17:45:53;17;3;5
2013-06-27 18:14:16;18;3;20
2013-06-27 18:15:54;18;3;49
2013-06-27 18:18:44;18;3;63
2013-06-27 18:33:40;18;3;9
2013-06-27 18:47:31;18;3;11
2013-06-27 18:50:49;18;3;1
2013-06-27 18:56:23;18;3;4
2013-06-27 18:56:39;18;3;11
2013-06-27 19:03:42;19;3;3
2013-06-27 19:48:13;19;3;1
2013-06-27 22:29:17;22;3;11
2013-06-27 22:30:58;22;3;1
2013-06-27 23:54:50;23;3;2
2013-06-28 00:17:29;0;4;5
2013-06-28 00:34:47;0;4;3
2013-06-28 00:38:36;0;4;3
2013-06-28 01:36:02;1;4;3
2013-06-28 01:36:40;1;4;2
2013-06-28 03:12:14;3;4;5
2013-06-28 13:52:38;13;4;37
2013-06-28 18:08:23;18;4;1
2013-06-28 21:25:05;21;4;4
2013-06-29 01:55:58;1;5;1
2013-07-01 01:54:59;1;0;1
2013-07-01 02:37:37;2;0;3
2013-07-01 07:52:19;7;0;1
2013-07-01 16:32:24;16;0;1
2013-07-01 23:21:10;23;0;2
2013-07-02 13:35:25;13;1;8
2013-07-02 14:35:14;14;1;2
2013-07-02 16:07:12;16;1;1
2013-07-04 06:25:32;6;3;2
2013-07-04 00:00:00;0;3;1
2013-07-04 18:32:26;18;3;13
2013-07-04 18:32:42;18;3;14
2013-07-04 18:34:59;18;3;5
2013-07-04 18:36:28;18;3;5
2013-07-04 18:38:24;18;3;5
2013-07-04 18:38:52;18;3;88
2013-07-04 18:40:11;18;3;3
2013-07-04 18:43:27;18;3;1
2013-07-04 18:45:41;18;3;2
2013-07-04 18:49:15;18;3;11
2013-07-04 18:51:54;18;3;2
2013-07-04 18:56:25;18;3;1
2013-07-04 19:00:54;19;3;2
2013-07-04 19:24:25;19;3;6
2013-07-04 19:39:20;19;3;6
2013-07-04 19:52:47;19;3;1
2013-07-04 20:26:25;20;3;3
2013-07-04 20:40:03;20;3;2
2013-07-04 20:43:57;20;3;3
2013-07-04 20:52:51;20;3;1
2013-07-04 21:05:47;21;3;12
2013-07-04 22:20:22;22;3;3
2013-07-04 22:22:10;22;3;4
2013-07-04 22:24:59;22;3;4
2013-07-04 23:23:47;23;3;3
2013-07-05 00:07:49;0;4;3
2013-07-05 00:22:23;0;4;1
2013-07-05 00:53:55;0;4;1
2013-07-05 01:11:50;1;4;10
2013-07-05 01:11:56;1;4;5
2013-07-05 01:29:07;1;4;7
2013-07-05 01:47:47;1;4;1
2013-07-05 14:17:40;14;4;1
2013-07-05 17:28:36;17;4;1
2013-07-05 20:00:23;20;4;11
2013-07-05 21:10:37;21;4;1
2013-07-05 21:17:35;21;4;8
2013-07-05 21:20:06;21;4;16
2013-07-05 22:15:25;22;4;3
2013-07-05 23:08:33;23;4;2
2013-07-05 23:21:57;23;4;5
2013-07-05 23:53:02;23;4;4
2013-07-05 23:53:09;23;4;7
2013-07-05 23:57:01;23;4;4
2013-07-06 00:02:50;0;5;1
2013-07-06 00:06:20;0;5;2
2013-07-06 00:20:19;0;5;2
2013-07-06 01:26:00;1;5;3
2013-07-06 01:55:28;1;5;7
2013-07-06 01:56:46;1;5;9
2013-07-06 02:20:55;2;5;1
2013-07-06 03:35:01;3;5;1
2013-07-06 04:14:12;4;5;1
2013-07-06 04:41:28;4;5;1
2013-07-06 04:43:42;4;5;3
2013-07-06 07:06:21;7;5;4
2013-07-06 07:13:35;7;5;3
2013-07-06 07:39:07;7;5;3
2013-07-06 18:07:44;18;5;4
2013-07-07 05:55:15;5;6;13
2013-07-07 16:35:25;16;6;7
2013-07-07 16:41:09;16;6;4
2013-07-07 16:54:05;16;6;2
2013-07-07 22:10:44;22;6;1
2013-07-07 22:23:53;22;6;1
2013-07-07 22:28:59;22;6;1
2013-07-08 02:38:12;2;0;2
2013-07-08 03:27:14;3;0;13
2013-07-08 03:41:49;3;0;1
2013-07-08 03:44:57;3;0;3
2013-07-08 03:45:31;3;0;2
2013-07-08 04:22:38;4;0;3
2013-07-08 04:23:24;4;0;1
2013-07-08 04:40:46;4;0;3
2013-07-08 06:32:09;6;0;6
2013-07-08 13:03:35;13;0;6
2013-07-08 17:05:24;17;0;2
2013-07-08 19:52:47;19;0;1
2013-07-08 20:40:14;20;0;1
2013-07-08 20:42:20;20;0;1
2013-07-09 01:06:06;1;1;1
2013-07-09 01:49:36;1;1;2
2013-07-09 02:01:57;2;1;30
2013-07-09 04:12:04;4;1;3
2013-07-09 04:16:26;4;1;2
2013-07-09 05:15:01;5;1;1
2013-07-09 12:29:03;12;1;1
2013-07-09 13:39:14;13;1;3
2013-07-09 20:39:25;20;1;2
2013-07-10 22:35:06;22;2;1
2013-07-11 15:11:30;15;3;3
2013-07-11 23:27:29;23;3;4
2013-07-11 23:34:46;23;3;5
2013-07-11 23:46:56;23;3;4
2013-07-11 23:51:59;23;3;1
2013-07-11 23:54:50;23;3;2
2013-07-12 00:05:10;0;4;3
2013-07-12 00:07:45;0;4;3
2013-07-12 00:28:55;0;4;1
2013-07-12 00:39:19;0;4;2
2013-07-12 00:46:38;0;4;16
2013-07-12 00:47:45;0;4;15
2013-07-12 00:50:56;0;4;19
2013-07-12 01:13:09;1;4;32
2013-07-12 01:28:23;1;4;1
2013-07-12 01:30:02;1;4;2
2013-07-12 01:31:06;1;4;1
2013-07-12 01:33:29;1;4;2
2013-07-12 01:35:32;1;4;3
2013-07-12 01:36:27;1;4;3
2013-07-12 01:36:43;1;4;1
2013-07-12 01:36:59;1;4;1
2013-07-12 01:37:10;1;4;2
2013-07-12 01:57:36;1;4;1
2013-07-12 02:10:31;2;4;2
2013-07-12 02:27:55;2;4;1
2013-07-12 02:29:22;2;4;7
2013-07-12 02:42:46;2;4;1
2013-07-12 02:43:06;2;4;2
2013-07-12 03:02:34;3;4;9
2013-07-12 03:12:58;3;4;1
2013-07-12 03:13:19;3;4;3
2013-07-12 03:13:58;3;4;5
2013-07-12 03:21:27;3;4;10
