id;puntos_historicos;puntos;fecha_afiliacion;uni;genero;nacimiento;hora_afiliacion;dia_afiliacion;puntos_gastados;shares_totales;categoria_dominante;recruitments;concursos_participados;premios_canjeados;tickets_canjeados;difference_last_and_first_share;stdv_share_difference;difference_last_raffle_first_share
3;7618;7618;2013-06-27 00:01:02;NA;M;1989-08-05;21;2;0;22;CINE;0;0;0;NA;470;49.6104;-1
6;0;0;2013-06-27 00:08:45;NA;NA;NA;21;2;0;0;NA;0;0;0;NA;-1;-1;-1
10;39229;8229;2013-06-27 02:05:44;NA;F;NA;23;2;31000;65;VIAJES;0;2;3;2;530;25.2546;424
11;3386;3386;2013-06-27 17:27:56;NA;M;1987-08-20;14;3;0;7;MISC;0;0;0;NA;99;30.7069;-1
13;70;70;2013-06-27 18:22:14;NA;NA;NA;15;3;0;3;MISC;0;0;0;NA;0;0;-1
14;1232;982;2013-06-27 18:24:15;NA;F;NA;15;3;250;7;MISC;0;1;0;1;315;63.9993;22
15;0;0;2013-06-27 18:26:13;NA;NA;NA;15;3;0;0;NA;0;0;0;NA;-1;-1;-1
16;0;0;2013-06-27 18:32:12;NA;NA;NA;15;3;0;1;MISC;0;0;0;NA;0;-1;-1
18;64;64;2013-06-27 18:49:33;NA;NA;NA;15;3;0;1;MISC;0;0;0;NA;0;-1;-1
19;0;0;2013-06-27 18:53:51;NA;NA;NA;15;3;0;0;NA;0;0;0;NA;-1;-1;-1
20;256;256;2013-06-27 18:54:36;NA;NA;NA;15;3;0;3;MISC;0;0;0;NA;14;7;-1
22;12130;12130;2013-06-27 18:56:12;NA;F;1986-06-28;15;3;0;25;VIDEOJUEGOS;0;0;0;NA;201;22.1957;-1
23;26110;24910;2013-06-27 19:01:25;NA;NA;NA;16;3;1200;20;M;0;3;0;9;489;48.394;378
24;108;108;2013-06-27 19:03:09;NA;M;1988-01-26;16;3;0;2;MISC;0;0;0;NA;7;0;-1
25;0;0;2013-06-27 19:19:29;NA;NA;NA;16;3;0;0;NA;0;0;0;NA;-1;-1;-1
26;0;0;2013-06-27 19:36:39;NA;NA;NA;16;3;0;3;DEPORTES;0;0;0;NA;6;3;-1
27;64;64;2013-06-27 19:48:05;NA;NA;NA;16;3;0;1;MISC;0;0;0;NA;0;-1;-1
28;0;0;2013-06-27 19:53:29;NA;NA;NA;16;3;0;2;M;0;0;0;NA;154;0;-1
30;0;0;2013-06-27 20:50:35;NA;NA;NA;17;3;0;0;NA;0;0;0;NA;-1;-1;-1
31;1600;1600;2013-06-27 20:50:44;NA;NA;NA;17;3;0;7;MISC;0;0;0;NA;16;2.6247;-1
33;0;0;2013-06-27 20:53:55;NA;NA;NA;17;3;0;1;MISC;0;0;0;NA;0;-1;-1
34;0;0;2013-06-27 21:39:04;NA;NA;NA;18;3;0;0;NA;0;0;0;NA;-1;-1;-1
35;15246;46;2013-06-27 22:28:59;Pontificia Universidad Cat;M;1989-04-08;19;3;15200;18;DEPORTES;0;1;1;13;148;20.0434;34
36;64;64;2013-06-27 22:29:30;NA;NA;NA;19;3;0;1;MISC;0;0;0;NA;0;-1;-1
37;480;480;2013-06-27 23:52:16;NA;NA;NA;20;3;0;2;MISC;0;0;0;NA;6;0;-1
38;128;128;2013-06-27 23:54:44;NA;NA;NA;20;3;0;1;MISC;0;0;0;NA;0;-1;-1
39;0;0;2013-06-27 23:55:10;NA;NA;NA;20;3;0;0;NA;0;0;0;NA;-1;-1;-1
40;0;0;2013-06-28 00:05:04;NA;NA;NA;21;3;0;1;MISC;0;0;0;NA;0;-1;-1
41;352;352;2013-06-28 00:17:03;NA;M;1990-06-08;21;3;0;1;MISC;0;0;0;NA;0;-1;-1
42;384;384;2013-06-28 00:19:42;NA;NA;NA;21;3;0;2;MISC;0;0;0;NA;6;0;-1
43;0;0;2013-06-28 00:21:57;NA;NA;NA;21;3;0;1;MISC;0;0;0;NA;0;-1;-1
44;320;320;2013-06-28 00:35:16;NA;NA;NA;21;3;0;4;MISC;0;0;0;NA;74;34.8839;-1
45;1694;244;2013-06-28 01:34:16;Universidad Mayor;F;1990-11-15;22;3;1450;4;M;0;3;0;4;111;51.6204;6
46;128;128;2013-06-28 01:36:11;NA;NA;NA;22;3;0;1;MISC;0;0;0;NA;0;-1;-1
47;384;384;2013-06-28 02:10:30;NA;NA;NA;23;3;0;3;MISC;0;0;0;NA;14;0;-1
48;432;432;2013-06-28 02:16:13;NA;NA;NA;23;3;0;2;MISC;0;0;0;NA;108;0;-1
49;0;0;2013-06-28 02:25:48;NA;NA;NA;23;3;0;0;NA;0;0;0;NA;-1;-1;-1
50;0;0;2013-06-28 02:28:20;NA;NA;NA;23;3;0;1;MISC;0;0;0;NA;0;-1;-1
51;0;0;2013-06-28 03:02:36;NA;NA;NA;0;4;0;0;NA;0;0;0;NA;-1;-1;-1
52;1104;1104;2013-06-28 03:10:57;NA;NA;NA;0;4;0;3;MISC;0;0;0;NA;14;7;-1
53;15667;3317;2013-06-28 13:52:29;NA;M;1986-02-16;10;4;12350;20;VIDEOJUEGOS;0;5;0;30;291;25.0726;182
54;0;0;2013-06-28 14:26:22;NA;NA;NA;11;4;0;0;NA;0;0;0;NA;-1;-1;-1
55;48;48;2013-06-28 14:44:00;NA;NA;NA;11;4;0;4;MISC;0;0;0;NA;20;5.7349;-1
56;0;0;2013-06-28 16:19:53;NA;NA;NA;13;4;0;1;MISC;0;0;0;NA;0;-1;-1
57;0;0;2013-06-28 16:33:06;NA;NA;NA;13;4;0;0;NA;0;0;0;NA;-1;-1;-1
58;0;0;2013-06-28 16:33:49;NA;NA;NA;13;4;0;0;NA;0;0;0;NA;-1;-1;-1
59;0;0;2013-06-28 16:53:29;NA;NA;NA;13;4;0;0;NA;0;0;0;NA;-1;-1;-1
60;64;64;2013-06-28 18:07:19;NA;NA;NA;15;4;0;1;MISC;0;0;0;NA;0;-1;-1
61;0;0;2013-06-28 18:34:50;NA;NA;NA;15;4;0;1;MISC;0;0;0;NA;0;-1;-1
62;0;0;2013-06-28 18:48:05;Universidad Adolfo Ib;M;1976-01-02;15;4;0;2;MISC;0;0;0;NA;104;0;-1
63;0;0;2013-06-28 19:01:04;NA;NA;NA;16;4;0;0;NA;0;0;0;NA;-1;-1;-1
64;256;256;2013-06-28 21:24:53;NA;NA;NA;18;4;0;1;MISC;0;0;0;NA;0;-1;-1
65;0;0;2013-06-28 22:53:58;NA;NA;NA;19;4;0;0;NA;0;0;0;NA;-1;-1;-1
66;64;64;2013-06-29 01:55:38;NA;NA;NA;22;4;0;2;MISC;0;0;0;NA;6;0;-1
67;0;0;2013-06-29 17:28:57;NA;NA;NA;14;5;0;2;MISC;0;0;0;NA;5;0;-1
68;5064;4514;2013-06-30 22:17:44;NA;F;1992-01-31;19;6;550;31;VIDEOJUEGOS;0;2;0;2;4;0.5617;0
69;3300;100;2013-07-01 01:54:42;NA;M;1986-04-12;22;6;3200;16;M;0;1;0;8;165;35.3346;-2
70;15564;314;2013-07-01 07:51:37;Universidad de Valpara;F;1992-11-24;4;0;15250;58;VIAJES;0;3;1;11;169;11.1102;56
71;64;64;2013-07-01 16:29:52;NA;NA;NA;13;0;0;3;MISC;0;0;0;NA;113;56.5;-1
72;0;0;2013-07-01 22:59:37;NA;NA;NA;19;0;0;1;NA;0;0;0;NA;0;-1;-1
73;14355;405;2013-07-01 23:14:03;NA;F;1991-02-25;20;0;13950;44;M;0;5;0;34;226;16.4233;123
75;512;512;2013-07-02 13:34:49;NA;NA;NA;10;1;0;1;MISC;0;0;0;NA;0;-1;-1
76;128;128;2013-07-02 14:35:04;NA;NA;NA;11;1;0;1;MISC;0;0;0;NA;0;-1;-1
77;64;64;2013-07-02 16:06:56;NA;NA;NA;13;1;0;2;MISC;0;0;0;NA;2;0;-1
78;0;0;2013-07-02 16:53:21;NA;NA;NA;13;1;0;1;MISC;0;0;0;NA;0;-1;-1
79;18658;9508;2013-07-03 20:16:44;Universidad Tecnol;F;1990-04-12;17;2;9150;50;CINE;0;10;0;27;357;19.953;256
80;0;0;2013-07-04 00:46:48;NA;NA;NA;21;2;0;1;MISC;0;0;0;NA;0;-1;-1
81;128;128;2013-07-04 06:24:42;NA;NA;NA;3;3;0;1;MISC;0;0;0;NA;0;-1;-1
82;1152;52;2013-07-04 15:16:24;Universidad Adolfo Ib;M;1986-02-18;12;3;1100;2;M;0;2;0;2;103;0;0
83;0;0;2013-07-04 15:23:27;NA;NA;NA;12;3;0;0;NA;0;0;0;NA;-1;-1;-1
84;0;0;2013-07-04 16:47:56;NA;F;1989-02-26;13;3;0;1;MISC;0;0;0;NA;0;-1;-1
85;672;172;2013-07-04 17:32:15;NA;M;NA;14;3;500;14;M;0;1;0;2;299;31.3786;0
86;288;288;2013-07-04 18:40:03;NA;NA;NA;15;3;0;2;M;0;0;0;NA;0;0;-1
87;96;96;2013-07-04 18:56:21;NA;NA;NA;15;3;0;2;M;0;0;0;NA;0;0;-1
88;1372;422;2013-07-04 19:00:46;Universidad Diego Portales;M;1985-01-02;16;3;950;8;VIAJES;0;2;0;3;116;28.091;12
89;0;0;2013-07-04 19:01:17;NA;NA;NA;16;3;0;1;MISC;0;0;0;NA;0;-1;-1
90;428;428;2013-07-04 19:13:24;Universidad Finis Terrae;NA;NA;16;3;0;5;MISC;0;0;0;NA;125;51.8236;-1
91;0;0;2013-07-04 19:19:48;NA;NA;NA;16;3;0;1;M;0;0;0;NA;0;-1;-1
92;405;405;2013-07-04 19:20:08;Universidad Finis Terrae;M;NA;16;3;0;14;MISC;0;0;0;NA;190;36.3689;-1
93;576;576;2013-07-04 19:24:11;NA;NA;NA;16;3;0;1;M;0;0;0;NA;0;-1;-1
94;5208;5208;2013-07-04 19:39:14;NA;M;NA;16;3;0;6;M;0;0;0;NA;328;35.7693;-1
95;96;96;2013-07-04 19:47:54;NA;NA;NA;16;3;0;1;M;0;0;0;NA;0;-1;-1
98;0;0;2013-07-04 20:37:23;NA;NA;NA;17;3;0;0;NA;0;0;0;NA;-1;-1;-1
99;288;288;2013-07-04 20:43:50;NA;NA;NA;17;3;0;1;M;0;0;0;NA;0;-1;-1
101;544;544;2013-07-04 22:19:47;NA;M;NA;19;3;0;2;M;0;0;0;NA;0;0;-1
102;4368;2768;2013-07-04 22:24:51;Universidad Nacional Andr;F;1991-10-04;19;3;1600;9;DEPORTES;0;3;0;3;159;37.0724;-20
103;736;736;2013-07-05 00:07:34;NA;F;NA;21;3;0;10;DEPORTES;0;0;0;NA;102;28.5502;-1
104;96;96;2013-07-05 00:53:50;NA;NA;NA;21;3;0;1;M;0;0;0;NA;0;-1;-1
105;1184;1184;2013-07-05 01:01:10;NA;NA;NA;22;3;0;2;M;0;0;0;NA;0;0;-1
106;672;672;2013-07-05 01:18:27;NA;F;NA;22;3;0;2;M;0;0;0;NA;120;0;-1
108;352;352;2013-07-05 01:47:27;NA;NA;NA;22;3;0;2;M;0;0;0;NA;3;0;-1
109;0;0;2013-07-05 02:04:29;NA;NA;NA;23;3;0;0;NA;0;0;0;NA;-1;-1;-1
112;0;0;2013-07-05 19:00:52;NA;NA;NA;16;4;0;1;M;0;0;0;NA;0;-1;-1
113;0;0;2013-07-05 19:26:47;NA;NA;NA;16;4;0;2;MISC;0;0;0;NA;0;0;-1
114;0;0;2013-07-05 20:10:09;NA;NA;NA;17;4;0;1;MISC;0;0;0;NA;0;-1;-1
115;0;0;2013-07-05 20:58:40;NA;NA;NA;17;4;0;2;M;0;0;0;NA;0;0;-1
116;0;0;2013-07-05 21:08:51;NA;NA;NA;18;4;0;0;NA;0;0;0;NA;-1;-1;-1
117;96;96;2013-07-05 21:10:27;NA;NA;NA;18;4;0;2;M;0;0;0;NA;0;0;-1
118;3078;3078;2013-07-05 21:13:11;NA;M;1994-12-20;18;4;0;8;MISC;0;0;0;NA;59;14.6469;-1
119;288;288;2013-07-05 22:15:12;NA;NA;NA;19;4;0;4;M;0;0;0;NA;4;1.8856;-1
121;0;0;2013-07-05 23:01:44;NA;NA;NA;20;4;0;1;M;0;0;0;NA;0;-1;-1
122;192;192;2013-07-05 23:08:20;NA;NA;NA;20;4;0;1;M;0;0;0;NA;0;-1;-1
123;320;320;2013-07-05 23:19:51;NA;NA;NA;20;4;0;1;MISC;0;0;0;NA;0;-1;-1
124;0;0;2013-07-05 23:27:20;NA;NA;NA;20;4;0;3;M;0;0;0;NA;1;0.5;-1
125;4014;4014;2013-07-05 23:52:45;NA;M;1995-03-10;20;4;0;8;MISC;0;0;0;NA;130;41.8257;-1
126;702;702;2013-07-05 23:55:42;NA;F;1995-06-26;20;4;0;4;M;0;0;0;NA;29;12.2565;-1
128;0;0;2013-07-06 00:01:39;NA;NA;NA;21;4;0;2;M;0;0;0;NA;0;0;-1
130;192;192;2013-07-06 00:06:07;NA;NA;NA;21;4;0;1;M;0;0;0;NA;0;-1;-1
131;0;0;2013-07-06 00:09:53;NA;NA;NA;21;4;0;1;M;0;0;0;NA;0;-1;-1
132;0;0;2013-07-06 00:16:21;NA;NA;NA;21;4;0;0;NA;0;0;0;NA;-1;-1;-1
133;0;0;2013-07-06 00:19:46;NA;NA;NA;21;4;0;1;M;0;0;0;NA;0;-1;-1
134;0;0;2013-07-06 00:51:03;NA;NA;NA;21;4;0;0;NA;0;0;0;NA;-1;-1;-1
135;0;0;2013-07-06 00:59:00;NA;NA;NA;21;4;0;1;MISC;0;0;0;NA;0;-1;-1
136;288;288;2013-07-06 01:25:38;NA;NA;NA;22;4;0;1;M;0;0;0;NA;0;-1;-1
137;0;0;2013-07-06 03:11:16;NA;NA;NA;0;5;0;0;NA;0;0;0;NA;-1;-1;-1
138;0;0;2013-07-06 03:27:33;NA;NA;NA;0;5;0;2;DEPORTES;0;0;0;NA;0;0;-1
139;96;96;2013-07-06 04:13:54;NA;NA;NA;1;5;0;1;M;0;0;0;NA;0;-1;-1
140;128;128;2013-07-06 04:19:43;NA;NA;NA;1;5;0;2;M;0;0;0;NA;0;0;-1
141;0;0;2013-07-06 04:24:55;NA;NA;NA;1;5;0;1;MISC;0;0;0;NA;0;-1;-1
142;0;0;2013-07-06 05:19:11;NA;NA;NA;2;5;0;2;M;0;0;0;NA;0;0;-1
143;672;672;2013-07-06 07:37:26;NA;NA;NA;4;5;0;6;DEPORTES;0;0;0;NA;103;34.6272;-1
144;625;225;2013-07-06 17:57:23;Pontificia Universidad Cat;M;1993-01-02;14;5;400;6;VIDEOJUEGOS;0;1;0;1;182;61.1182;17
146;0;0;2013-07-06 22:01:59;NA;M;NA;19;5;0;1;DEPORTES;0;0;0;NA;0;-1;-1
147;256;256;2013-07-07 00:03:34;NA;NA;NA;21;5;0;4;DEPORTES;0;0;0;NA;5;2.357;-1
149;224;224;2013-07-07 22:08:27;NA;NA;NA;19;6;0;2;DEPORTES;0;0;0;NA;0;0;-1
150;0;0;2013-07-08 05:41:56;NA;NA;NA;2;0;0;0;NA;0;0;0;NA;-1;-1;-1
151;0;0;2013-07-08 15:23:00;NA;NA;NA;12;0;0;1;M;0;0;0;NA;0;-1;-1
152;96;96;2013-07-08 19:52:37;NA;NA;NA;16;0;0;1;M;0;0;0;NA;0;-1;-1
153;176;176;2013-07-08 20:40:07;NA;NA;NA;17;0;0;3;MISC;0;0;0;NA;1;0.5;-1
156;3952;3952;2013-07-09 02:00:58;NA;NA;NA;23;0;0;3;CINE;0;0;0;NA;5;2.5;-1
157;304;304;2013-07-09 13:38:51;NA;NA;NA;10;1;0;1;CINE;0;0;0;NA;0;-1;-1
158;512;512;2013-07-11 23:46:40;NA;NA;NA;20;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
159;128;128;2013-07-11 23:49:35;NA;NA;NA;20;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
160;0;0;2013-07-11 23:52:25;NA;NA;NA;20;3;0;0;NA;0;0;0;NA;-1;-1;-1
161;384;384;2013-07-12 00:03:48;NA;NA;NA;21;3;0;3;VIDEOJUEGOS;0;0;0;NA;0;0;-1
162;0;0;2013-07-12 00:08:44;NA;F;1992-06-30;21;3;0;2;VIDEOJUEGOS;0;0;0;NA;0;0;-1
163;256;256;2013-07-12 00:37:41;NA;NA;NA;21;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
164;6176;6176;2013-07-12 00:46:31;NA;NA;NA;21;3;0;5;VIDEOJUEGOS;0;0;0;NA;0;0;-1
165;7232;7232;2013-07-12 01:12:33;NA;NA;NA;22;3;0;3;VIDEOJUEGOS;0;0;0;NA;159;79.5;-1
166;0;0;2013-07-12 01:22:36;NA;NA;NA;22;3;0;3;M;0;0;0;NA;34;17;-1
167;128;128;2013-07-12 01:26:56;NA;NA;NA;22;3;0;2;VIDEOJUEGOS;0;0;0;NA;0;0;-1
168;0;0;2013-07-12 01:26:59;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
169;0;0;2013-07-12 01:28:04;NA;NA;NA;22;3;0;2;CINE;0;0;0;NA;0;0;-1
170;128;128;2013-07-12 01:28:15;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
171;256;256;2013-07-12 01:29:05;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
172;0;0;2013-07-12 01:29:06;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
173;256;256;2013-07-12 01:33:12;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
174;128;128;2013-07-12 01:33:30;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
175;128;128;2013-07-12 01:34:24;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
176;480;480;2013-07-12 01:35:20;NA;NA;NA;22;3;0;5;CINE;0;0;0;NA;101;42.0201;-1
177;384;384;2013-07-12 01:36:17;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
178;256;256;2013-07-12 01:36:20;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
179;0;0;2013-07-12 01:40:07;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
180;0;0;2013-07-12 01:40:54;NA;NA;NA;22;3;0;0;NA;0;0;0;NA;-1;-1;-1
181;0;0;2013-07-12 01:43:31;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
182;0;0;2013-07-12 01:49:51;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
183;144;144;2013-07-12 01:52:56;NA;M;1991-11-25;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
184;0;0;2013-07-12 01:54:56;NA;M;NA;22;3;0;2;VIDEOJUEGOS;0;0;0;NA;94;0;-1
185;0;0;2013-07-12 01:54:58;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
186;0;0;2013-07-12 01:59:10;NA;NA;NA;22;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
187;0;0;2013-07-12 02:01:20;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
188;256;256;2013-07-12 02:10:14;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
189;0;0;2013-07-12 02:15:38;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
190;128;128;2013-07-12 02:27:04;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
191;9436;236;2013-07-12 02:30:15;Universidad del B;M;1980-04-20;23;3;9200;49;DEPORTES;0;10;0;16;266;16.2749;168
192;128;128;2013-07-12 02:37:06;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
193;0;0;2013-07-12 02:37:45;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
194;256;256;2013-07-12 02:42:53;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
195;0;0;2013-07-12 02:43:28;NA;NA;NA;23;3;0;3;VIDEOJUEGOS;0;0;0;NA;0;0;-1
196;0;0;2013-07-12 02:52:16;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
197;0;0;2013-07-12 02:54:32;NA;NA;NA;23;3;0;1;VIDEOJUEGOS;0;0;0;NA;0;-1;-1
198;48;48;2013-07-12 03:09:25;NA;NA;NA;0;4;0;2;VIDEOJUEGOS;0;0;0;NA;0;0;-1
