id;url;saldo_actual;category;points_per_view;release_date;release_date_youtube;duracion;release_difference;total_views;points_given;shares_first_day;shares_first_week;shares_first_month;male_shares;female_shares;total_shares;total_users_at_release;1_week_active_users_at_release;2_week_active_users_at_release;1_week_new_users_at_release;2_week_new_users_at_release;active_raffles_at_release;1_week_active_raffles;2_week_active_raffles
273;L9O8j9QPZc8;784894;MISC;4;2014-02-19 14:53:08;2014-02-19 10:14:58;159;16690;53557;5456096;9;33;35;13;7;35;1588;16;28;11;20;5;5;5
689;A_8_4XRkm5c;100000;M;30;2014-07-03 02:14:06;2014-07-01 17:09:28;243;119078;52010;9990;5;5;7;3;2;7;2475;22;39;7;20;5;5;5
112;kXzwOKyGlSA;18940;MISC;10;2013-12-04 21:11:17;2013-11-10 20:55:48;223;2074529;23747;30010;21;26;31;16;10;32;1232;146;198;114;181;7;7;7
813;QJ7CSrcjo_4;10;MISC;30;2014-09-10 19:23:37;2014-09-10 17:32:25;286;6672;23474;99990;1;1;1;0;0;1;2636;18;21;27;34;0;0;0
799;Hjy6ie16z3s;10;MISC;30;2014-09-05 00:10:42;2014-08-27 10:03:36;46;742026;22778;99990;1;3;3;0;1;3;2609;4;11;5;13;0;0;0
39;i25Mm9bbsWE;4625;MISC;5;2013-10-24 22:59:33;2013-10-01 13:00:01;229;2023172;9387;76050;10;21;33;15;23;42;623;165;311;137;376;11;11;12
787;kYNPtDbykp0;10;MISC;30;2014-08-27 01:18:13;2014-08-27 00:04:43;41;4410;8696;99990;4;4;4;2;1;4;2600;7;11;5;11;7;7;7
422;Gw79smKZB9E;119150;MISC;30;2014-04-03 02:40:04;2014-04-01 20:03:31;73;110193;7491;140850;4;5;5;3;1;5;2190;57;97;30;74;4;5;6
832;2alnVIj1Jf8;105350;MISC;30;2014-09-25 03:32:52;2014-09-24 17:21:21;275;36691;6307;185430;4;4;4;0;2;4;2665;5;11;6;27;0;0;0
487;gO_KyTtJg10;926950;MISC;30;2014-04-21 15:05:49;2014-04-19 18:30:21;233;160528;6050;173040;11;20;20;14;5;20;2306;43;84;29;84;4;4;6
486;UMPyB3n7cLc;10;MISC;30;2014-04-19 18:13:33;2014-04-16 15:53:11;137;267622;5660;99990;5;5;5;1;3;5;2297;49;80;44;88;4;4;6
625;ECs8ZrmH8D8;14810;MISC;30;2014-06-04 15:02:13;2014-06-02 11:53:02;60;184151;5396;135180;4;5;5;4;0;5;2423;35;57;16;31;5;5;5
805;WHZPEkZCqwA;10;MISC;30;2014-09-07 20:22:14;2014-09-07 14:37:37;330;20677;5141;99990;3;3;3;1;1;3;2618;9;14;10;21;0;0;0
107;cPoZoMZyY2M;9310;DEPORTES;10;2013-12-02 15:04:47;2013-06-21 13:41:36;115;14174591;5003;30730;13;23;28;20;6;28;1191;139;178;104;152;7;7;7
665;XbYNAZxcWh4;10;MISC;30;2014-06-19 22:14:28;2014-06-19 17:24:30;195;17398;4285;99990;3;3;3;1;0;3;2457;29;47;19;30;2;2;7
651;Gk4vnVsx2wc;10;DEPORTES;30;2014-06-12 13:57:49;2014-06-08 05:30:06;120;376063;3786;99990;3;6;6;5;0;6;2437;30;46;10;27;3;3;3
379;yJ7-v7xVm3I;3180;MISC;15;2014-03-21 04:06:25;2014-03-20 18:10:45;189;35740;3165;66810;2;4;4;1;2;4;2123;59;81;45;75;5;5;6
822;Iudb0amH0sY;12880;MISC;30;2014-09-17 12:34:17;2014-09-16 09:20:07;196;98050;2983;87120;2;2;2;1;0;2;2655;9;25;21;46;0;0;0
801;BAdFvTo9874;19120;MISC;30;2014-09-05 22:46:21;2014-09-04 20:05:12;163;96069;2705;80880;2;4;4;0;2;4;2610;4;10;4;14;0;0;0
797;YoB8t0B4jx4;22810;MISC;30;2014-09-04 23:25:52;2014-09-04 14:28:22;239;32250;2593;77190;2;4;4;0;2;4;2609;4;11;5;13;0;0;0
821;Xbs6eMxa5ds;325990;MISC;30;2014-09-16 18:20:49;2014-09-15 08:40:47;121;121202;2490;74010;2;3;3;0;2;3;2652;9;24;21;43;0;0;0
40;x76VEPXYaI0;8920;DEPORTES;15;2013-10-24 23:05:56;2013-10-22 17:00:04;124;194752;2420;46333;12;35;56;48;49;107;623;164;311;137;376;11;11;12
865;5aeKdmw9W50;29020;DEPORTES;30;2014-10-07 13:38:04;2014-10-07 13:00:09;333;2275;2388;70980;1;2;2;0;0;2;2689;11;22;7;27;0;0;0
827;0UjmqErytJc;28930;MISC;30;2014-09-22 23:15:31;2014-09-20 01:09:02;218;252389;2386;71070;1;1;1;0;0;1;2661;5;16;9;34;0;0;0
835;kxLoycj4pJY;30190;MISC;30;2014-09-26 02:48:29;2014-09-24 14:18:59;399;131370;2350;69810;2;3;3;0;2;3;2673;9;14;12;29;0;0;0
657;hHjGtBnSv50;31960;MISC;30;2014-06-16 02:29:21;2014-06-15 16:34:59;195;35662;2304;68040;4;4;4;2;1;4;2443;31;47;13;26;3;3;3
17;ZRd3lrukxu8;10000;NA;30;2013-10-09 13:11:57;2013-10-02 18:15:06;89;586611;2247;90000;2;42;101;61;69;155;220;4;4;10;11;0;11;12
