1 Week Active Raffles,1 Week Active Users At Release,1 Week New Users At Release,2 Week Active Raffles,2 Week Active Users At Release,2 Week New Users At Release,Total Views Ranges,Diferencia lanzamiento,PPV promedio,Outliers Views,Duracion Grupos,Number of Records,Active Raffles At Release,Category,duracion,Female Shares,Id,Male Shares,points_given,Points Per View,Release Date,release_date_youtube,release_difference,Shares First Day,Shares First Month,Shares First Week,Total Shares,Total Users At Release,Total Views,Url
0,59,59,0,71,87,50 - 99,[09] 3 semanas,151.549295775,Valid,[14] 7:01 a 7:30,1,0,DEPORTES,434,5,3,8,10760,66,05/07/2013 00:00:00,2013-06-19 16:15:48,1323852,1,30,26,31,87,71,Sv3xVOs7_No
0,81,66,0,110,133,150 - 199,[11] 5 semanas,159.012345679,Valid,[03] 1:31 a 2:00,1,0,VIDEOJUEGOS,99,7,6,15,25760,132,11/07/2013 00:00:00,2013-06-11 14:38:11,2539309,7,82,76,83,133,162,aX2KNyaoNV4
0,58,49,0,104,108,0 - 49,[14] 8 semanas,60,Valid,[04] 2:01 a 2:30,1,0,CINE,147,5,7,8,2340,66,12/07/2013 00:00:00,2013-05-16 19:02:06,4856274,3,22,14,25,136,39,4ekm20rSGs8
11,4,10,12,4,11,400 - 449,[14] 8 semanas,79.131455399,Valid,[02] 1:01 a 1:30,1,0,MISC,65,100,10,26,33710,70,09/10/2013 13:08:28,2013-08-16 01:31:39,4707409,1,95,32,151,220,426,KPC6UiwP6Hw
11,4,10,12,4,11,1000 - 1049,[10] 4 semanas,76.078817734,Valid,[01] 31 a 60s,1,0,MISC,32,126,11,42,77220,70,09/10/2013 13:09:26,2013-09-10 18:22:32,2486814,1,105,55,202,220,1015,2inR8eueoGU
11,4,10,12,4,11,150 - 199,[09] 3 semanas,42.626506024,Valid,[03] 1:31 a 2:00,1,0,MISC,104,52,12,22,7076,44,09/10/2013 13:09:51,2013-09-20 07:40:36,1661355,1,49,23,87,220,166,BsHFiI0h-9E
11,4,10,12,4,11,1200 - 1249,[08] 2 semanas,43.488372093,Valid,[09] 4:31 a 5:00,1,0,MISC,275,80,16,85,52360,44,09/10/2013 13:11:27,2013-10-01 04:00:00,724287,1,81,29,187,220,1204,3wbvpOIIBQA
11,4,10,12,4,11,2200 - 2249,[06] 6 días,40.053404539,Valid,[02] 1:01 a 1:30,1,0,NA,89,69,17,61,90000,30,09/10/2013 13:11:57,2013-10-02 18:15:06,586611,2,101,42,155,220,2247,ZRd3lrukxu8
11,4,10,12,4,11,500 - 549,[13] 7 semanas,105.567669173,Valid,[01] 31 a 60s,1,0,M,31,61,18,67,56162,100,09/10/2013 13:15:30,2013-08-26 03:00:43,3838487,1,80,26,150,220,532,peMSWg94ZwY
11,4,10,12,4,11,0 - 49,[13] 7 semanas,100,Valid,[01] 31 a 60s,1,0,NA,31,8,20,9,4800,132,09/10/2013 13:16:19,2013-08-25 20:09:14,3863225,2,21,20,21,220,48,ShYiqTg9K8E
